meeting,date
0,07/01/2019
1,11/01/2019
2,17/01/2019
3,23/01/2019
4,29/01/2019
5,04/02/2019
6,08/02/2019
7,14/02/2019
8,20/02/2019
9,26/02/2019
10,04/03/2019
11,08/03/2019
12,14/03/2019
13,20/03/2019
14,26/03/2019
15,01/04/2019
16,11/04/2019
17,17/04/2019
18,23/04/2019
19,29/04/2019
20,03/05/2019
21,09/05/2019
22,21/05/2019
23,27/05/2019
24,31/05/2019
25,06/06/2019
26,12/06/2019
27,18/06/2019
28,24/06/2019
29,28/06/2019
30,04/07/2019
31,10/07/2019
32,16/07/2019
33,22/07/2019
34,26/07/2019
35,01/08/2019
36,07/08/2019
37,13/08/2019
38,19/08/2019
39,23/08/2019
40,29/08/2019
41,04/09/2019
42,10/09/2019
43,16/09/2019
44,20/09/2019
45,26/09/2019
46,02/10/2019
47,08/10/2019
48,14/10/2019
49,18/10/2019
50,24/10/2019
51,30/10/2019
52,11/11/2019
53,21/11/2019
54,27/11/2019
55,03/12/2019
56,09/12/2019
57,13/12/2019
58,19/12/2019
59,31/12/2019
